School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
Trinity Washington University,DC,3,96.97,0,1369,0.0161,0.5741,0.3389,0.0124,12253,0.343317972,28250,0.978996499,0.532182104,22272,43100,53804,92200
University of Maine at Presque Isle,ME,3,96.99,0,1100,0.6855,0.0709,0.0655,0.0145,8948,0.305343511,16000,0.63877551,0.367117117,33445.5,35300,40956,52400
Thomas College,ME,3,97.24,0,673,0.8172,0.0357,0.0238,0.0059,21279,0.501683502,24250,0.501712329,0.378676471,51444.5,43400,44991,67200
Plymouth State University,NH,3,97.55,0,3286,0.811,0.0195,0.0472,0.0131,20083,0.495014245,26000,0.535545024,0.270225188,73031.5,45600,57304,68700
Magdalen College,NH,3,97.96,0,59,0.9661,0.0169,0.0169,0,12066,0,0,0.607843137,0,56302,35809,35809,0
California State Polytechnic University-Humboldt,CA,3,98.18,0,5373,0.5025,0.0303,0.3062,0.027,13952,0.498865184,18000,0.587191572,0.44061178,26596,40100,47626,73900
Chestnut Hill College,PA,3,98.19,0,939,0.3312,0.2929,0.1331,0.0117,25461,0.575308642,26389,0.671111111,0.444010417,32669.5,46800,52015,78000
Pontifical Catholic University of Puerto Rico-Arecibo,PR,3,98.21,0,290,0,0,0.9966,0,9016,0.290040769,15500,0.584302326,0.308402292,10990.5,21400,24908,40700
Prescott College,AZ,3,98.38,0,313,0.6645,0.0383,0.0447,0.0383,24964,0.330357143,16300,0.695652174,0.231958763,26676,34300,42359,63500
Grand View University,IA,3,98.41,0,1525,0.6,0.0957,0.1056,0.0367,20754,0.560553633,22500,0.545623836,0.360204082,50047.5,45200,52824,66000
Colegio Universitario de San Juan,PR,3,98.46,0,596,0,0,1,0,2489,0.304347826,0,0.561151079,0.452250274,2459.5,28100,26510,49300
Eastern Oregon University,OR,3,98.52,0,2262,0.6888,0.0186,0.1393,0.0102,14532,0.378768021,20500,0.597393193,0.46485623,32240,44100,50112,73900
Edgewood College,WI,3,98.62,0,1127,0.7675,0.0399,0.11,0.0195,27466,0.568396226,24424,0.75464191,0.281027104,58183,47600,59728,76500
Davenport University,MI,3,98.91,0,3412,0.6471,0.1205,0.0753,0.0255,17760,0.378889567,26000,0.562619808,0.398606272,34920.5,35400,45099,65400
University of Maine at Fort Kent,ME,3,99.24,0,650,0.6923,0.0692,0.0477,0.0154,11982,0.398523985,20160,0.74340949,0.429118774,36734,37700,51077,58600
Liberty University,VA,3,99.29,0,48408,0.5763,0.0939,0.0709,0.0173,29882,0.322822231,24500,0.643964859,0.423986559,31696.5,41400,44813,77700
Alaska Pacific University,AK,3,99.31,0,457,0.3282,0.0481,0.0153,0.0656,21651,0.43373494,23500,0.630136986,0,38810,45300,54271,85000
Eastern Mennonite University,VA,3,99.48,0,826,0.5956,0.1138,0.1029,0.0242,23206,0.434920635,24813,0.635714286,0.319066148,62190,44700,54869,76000
Lakeland University,WI,3,99.51,0,1281,0.6315,0.0906,0.096,0.0422,21577,0.44205298,25000,0.576576577,0.436363636,38821.5,45100,55961,72000
Le Moyne-Owen College,TN,3,99.56,0,605,0.0083,0.9504,0.0165,0,9937,0,28070,0.644846797,0.487684729,17003.5,30200,35594,60200
Pontifical Catholic University of Puerto Rico-Mayaguez,PR,3,99.77,0,647,0,0,0.9985,0,8521,0.290040769,15500,0.584302326,0.308402292,10990.5,21400,24908,40700
New England College,NH,3,99.94,0,1036,0.4672,0.1245,0.1004,0.0116,29384,0.265909091,26000,0.624742268,0.460330579,28690,44700,42092,63700
Mount Angel Seminary,OR,3,100,0,28,0.2857,0,0.5357,0.0357,43251,0,0,0,0,0,57436,57436,0
VanderCook College of Music,IL,3,100,0,67,0.4179,0.1493,0.2687,0.0448,11058,0.607142857,27000,0.425531915,0,59619,47863,47863,0
Criswell College,TX,3,100,0,121,0.6446,0.124,0.1405,0.0248,9304,0,25346,0.2625,0,32296.5,43185,43185,0
Heritage Christian University,AL,3,100,0,72,0.8472,0.0833,0.0556,0,5020,0,0,0,0,36524,42597,42597,0
Shasta Bible College and Graduate School,CA,3,100,0,24,0.8333,0,0.1667,0,11387,0,0,0.5,0,12253.5,28891,28891,0
Chamberlain University-Indiana,IN,3,100,0,202,0.5594,0.2673,0.0842,0.0446,31732,0.49228169,20919,0.896986301,0.47309798,46046,60400,92405,94100
Holy Names University,CA,3,100,0,564,0.1436,0.1862,0.2908,0.0851,14417,0.564102564,24125,0.666666667,0.474903475,42253.5,57600,76410,107800
