School Name,Type,Major,Description,1 Year,4 Years,5 Years
Ohio State University-Main Campus,Public,Special Education,Bachelor's Degree,45213,43720,49462
Appalachian State University,Public,Special Education,Bachelor's Degree,43283,42295,49424
Slippery Rock University of Pennsylvania,Public,Special Education,Bachelor's Degree,43480,44770,49371
University of Northern Colorado,Public,Special Education,Bachelor's Degree,44009,45211,49362
University of Wisconsin-Eau Claire,Public,Special Education,Bachelor's Degree,46508,44253,49346
Millersville University of Pennsylvania,Public,Special Education,Bachelor's Degree,51664,46704,49226
Black Hills State University,Public,Special Education,Bachelor's Degree,49134,43683,49089
Lebanon Valley College,"Private, nonprofit",Special Education,Bachelor's Degree,51415,45900,48939
University of Toledo,Public,Special Education,Bachelor's Degree,40952,44030,48539
University of New Mexico-Main Campus,Public,Special Education,Bachelor's Degree,41947,41299,48398
Western Illinois University,Public,Special Education,Bachelor's Degree,46729,44173,48274
The University of West Florida,Public,Special Education,Bachelor's Degree,46643,41494,47301
Saint Cloud State University,Public,Special Education,Bachelor's Degree,46662,43167,47220
Carthage College,"Private, nonprofit",Special Education,Bachelor's Degree,48593,43911,47182
University of South Dakota,Public,Special Education,Bachelor's Degree,46439,39798,47089
University of Wisconsin-Stevens Point,Public,Special Education,Bachelor's Degree,43844,40741,46793
East Carolina University,Public,Special Education,Bachelor's Degree,44185,41964,46759
University of Wisconsin-Oshkosh,Public,Special Education,Bachelor's Degree,44945,43211,46734
Ohio University-Chillicothe Campus,Public,Special Education,Bachelor's Degree,41362,42847,46532
Ohio University-Eastern Campus,Public,Special Education,Bachelor's Degree,41362,42847,46532
Ohio University-Lancaster Campus,Public,Special Education,Bachelor's Degree,41362,42847,46532
Ohio University-Main Campus,Public,Special Education,Bachelor's Degree,41362,42847,46532
Ohio University-Southern Campus,Public,Special Education,Bachelor's Degree,41362,42847,46532
Ohio University-Zanesville Campus,Public,Special Education,Bachelor's Degree,41362,42847,46532
Southern Illinois University-Carbondale,Public,Special Education,Bachelor's Degree,44429,43409,46500
Grand Canyon University,"Private, for-profit",Special Education,Bachelor's Degree,43258,41637,46426
University of Southern Indiana,Public,Special Education,Bachelor's Degree,44104,43225,46345
Coastal Carolina University,Public,Special Education,Bachelor's Degree,42147,39178,46262
Miami University-Oxford,Public,Special Education,Bachelor's Degree,41871,43240,46116
University of Arizona,Public,Special Education,Bachelor's Degree,35023,40716,46092
University of North Carolina at Charlotte,Public,Special Education,Bachelor's Degree,42692,41222,45769
Bellarmine University,"Private, nonprofit",Special Education,Bachelor's Degree,40785,39983,45601
Middle Tennessee State University,Public,Special Education,Bachelor's Degree,44052,41658,45543
Kent State University at Kent,Public,Special Education,Bachelor's Degree,39139,39432,45441
University of Kentucky,Public,Special Education,Bachelor's Degree,41217,44843,45328
Liberty University,"Private, nonprofit",Special Education,Bachelor's Degree,39699,38045,44616
University of Memphis,Public,Special Education,Bachelor's Degree,44664,41006,44607
University of North Carolina at Greensboro,Public,Special Education,Bachelor's Degree,42967,39988,44554
University of Mount Union,"Private, nonprofit",Special Education,Bachelor's Degree,36444,36553,44261
Ashland University,"Private, nonprofit",Special Education,Bachelor's Degree,35709,39195,44126
Missouri State University-Springfield,Public,Special Education,Bachelor's Degree,38250,35842,44035
College of Charleston,Public,Special Education,Bachelor's Degree,39832,40564,43953
Southern Illinois University-Edwardsville,Public,Special Education,Bachelor's Degree,44205,39228,43701
Bowling Green State University-Main Campus,Public,Special Education,Bachelor's Degree,38671,39187,43416
Western Carolina University,Public,Special Education,Bachelor's Degree,41376,40704,43364
Saint Mary-of-the-Woods College,"Private, nonprofit",Special Education,Bachelor's Degree,41943,39062,43254
California State University-Sacramento,Public,Special Education,Bachelor's Degree,33783,38500,42702
Eastern Kentucky University,Public,Special Education,Bachelor's Degree,38485,38073,42418
Notre Dame College,"Private, nonprofit",Special Education,Bachelor's Degree,35789,36363,42381
University of Missouri-Columbia,Public,Special Education,Bachelor's Degree,37547,39236,42239
University of Akron Main Campus,Public,Special Education,Bachelor's Degree,34073,36765,41933
Youngstown State University,Public,Special Education,Bachelor's Degree,35220,38548,40430
Mississippi State University,Public,Special Education,Bachelor's Degree,40185,35183,40198
University of Central Missouri,Public,Special Education,Bachelor's Degree,36365,35661,40190
Morehead State University,Public,Special Education,Bachelor's Degree,36999,36125,40027
Murray State University,Public,Special Education,Bachelor's Degree,36197,35517,39132
Northwest Missouri State University,Public,Special Education,Bachelor's Degree,38040,39625,39045
Vincennes University,Public,Special Education,Bachelor's Degree,39867,39544,37538
Southeast Missouri State University,Public,Special Education,Bachelor's Degree,37450,35277,35985
Brigham Young University,"Private, nonprofit",Special Education,Bachelor's Degree,50331,36162,32469
University of Puerto Rico-Bayamon,Public,Special Education,Bachelor's Degree,9503,20682,23226
Southern Illinois University-Carbondale,Public,Soil Science,Bachelor's Degree,55076,54080,63144
Michigan State University,Public,Soil Science,Bachelor's Degree,50770,53927,62520
The University of Tennessee-Knoxville,Public,Soil Science,Bachelor's Degree,55322,47438,62443
University of Wisconsin-Stevens Point,Public,Soil Science,Bachelor's Degree,50046,59311,61232
Colorado State University-Fort Collins,Public,Soil Science,Bachelor's Degree,46287,58257,55660
Columbia University in the City of New York,"Private, nonprofit",Sociology,Bachelor's Degree,58541,66948,93017
University of Notre Dame,"Private, nonprofit",Sociology,Bachelor's Degree,35915,71102,88792
Boston College,"Private, nonprofit",Sociology,Bachelor's Degree,48091,70722,83459
University of California-Berkeley,Public,Sociology,Bachelor's Degree,40774,64119,78070
Santa Clara University,"Private, nonprofit",Sociology,Bachelor's Degree,53612,62009,77833
California Polytechnic State University-San Luis Obispo,Public,Sociology,Bachelor's Degree,30401,67872,75585
Barnard College,"Private, nonprofit",Sociology,Bachelor's Degree,48215,68952,75086
Duke University,"Private, nonprofit",Sociology,Bachelor's Degree,45551,53607,75020
Dartmouth College,"Private, nonprofit",Sociology,Bachelor's Degree,64377,71802,74367
New York University,"Private, nonprofit",Sociology,Bachelor's Degree,22697,61935,73086
Syracuse University,"Private, nonprofit",Sociology,Bachelor's Degree,38632,52918,72358
Boston University,"Private, nonprofit",Sociology,Bachelor's Degree,38457,55876,71736
Chapman University,"Private, nonprofit",Sociology,Bachelor's Degree,39278,46686,70118
College of the Holy Cross,"Private, nonprofit",Sociology,Bachelor's Degree,36583,57078,68340
University of Virginia-Main Campus,Public,Sociology,Bachelor's Degree,45786,56011,68316
The College of New Jersey,Public,Sociology,Bachelor's Degree,46953,54599,67732
University of Washington-Seattle Campus,Public,Sociology,Bachelor's Degree,40062,58517,67391
University of Southern California,"Private, nonprofit",Sociology,Bachelor's Degree,35580,57043,67128
Fordham University,"Private, nonprofit",Sociology,Bachelor's Degree,32511,57799,66658
Providence College,"Private, nonprofit",Sociology,Bachelor's Degree,35983,58988,66380
Loyola Marymount University,"Private, nonprofit",Sociology,Bachelor's Degree,35993,53785,65669
Cornell University,"Private, nonprofit",Sociology,Bachelor's Degree,36709,47518,65655
Emory University,"Private, nonprofit",Sociology,Bachelor's Degree,30516,56032,65354
University of Michigan-Ann Arbor,Public,Sociology,Bachelor's Degree,33832,52288,64923
Middlebury College,"Private, nonprofit",Sociology,Bachelor's Degree,28368,52425,64699
University of California-Los Angeles,Public,Sociology,Bachelor's Degree,34121,54562,64677
Brigham Young University,"Private, nonprofit",Sociology,Bachelor's Degree,35404,48204,64510
Stony Brook University,Public,Sociology,Bachelor's Degree,32912,51165,63549
Brandeis University,"Private, nonprofit",Sociology,Bachelor's Degree,45287,50018,63066
American University,"Private, nonprofit",Sociology,Bachelor's Degree,40119,65245,62954
University of Rhode Island,Public,Sociology,Bachelor's Degree,42554,50579,62936
Occidental College,"Private, nonprofit",Sociology,Bachelor's Degree,42653,48239,62892
East Stroudsburg University of Pennsylvania,Public,Sociology,Bachelor's Degree,35932,53597,62726
Sonoma State University,Public,Sociology,Bachelor's Degree,37896,54677,62652
Wake Forest University,"Private, nonprofit",Sociology,Bachelor's Degree,46257,57671,62340
University of Maryland-Baltimore County,Public,Sociology,Bachelor's Degree,39435,47327,62279
Hofstra University,"Private, nonprofit",Sociology,Bachelor's Degree,34832,52894,61906
Loyola University Chicago,"Private, nonprofit",Sociology,Bachelor's Degree,34004,51590,61830
University of Illinois Urbana-Champaign,Public,Sociology,Bachelor's Degree,31548,47028,61548
Mount Saint Mary's University,"Private, nonprofit",Sociology,Bachelor's Degree,40451,57398,61463
San Francisco State University,Public,Sociology,Bachelor's Degree,40763,53446,61399
CUNY Hunter College,Public,Sociology,Bachelor's Degree,30246,52572,61050
California State University-East Bay,Public,Sociology,Bachelor's Degree,39378,51950,61001
University of Connecticut,Public,Sociology,Bachelor's Degree,31913,49247,60962
University of Connecticut-Avery Point,Public,Sociology,Bachelor's Degree,31913,49247,60962
University of Connecticut-Hartford Campus,Public,Sociology,Bachelor's Degree,31913,49247,60962
University of Connecticut-Stamford,Public,Sociology,Bachelor's Degree,31913,49247,60962
University of Connecticut-Waterbury Campus,Public,Sociology,Bachelor's Degree,31913,49247,60962
Michigan State University,Public,Sociology,Bachelor's Degree,35055,53766,60828
University of Wisconsin-Madison,Public,Sociology,Bachelor's Degree,35889,52892,60766
University of San Francisco,"Private, nonprofit",Sociology,Bachelor's Degree,36183,61096,60747
Connecticut College,"Private, nonprofit",Sociology,Bachelor's Degree,22636,54667,60689
Centre College,"Private, nonprofit",Sociology,Bachelor's Degree,29054,54158,60664
University of Maryland-College Park,Public,Sociology,Bachelor's Degree,34150,53258,60642
The University of Texas at Austin,Public,Sociology,Bachelor's Degree,39621,53118,60618
University of Delaware,Public,Sociology,Bachelor's Degree,29714,54885,60435
University of Kansas,Public,Sociology,Bachelor's Degree,42703,52185,60399
University of California-San Diego,Public,Sociology,Bachelor's Degree,36464,52444,60237
CUNY Queens College,Public,Sociology,Bachelor's Degree,31975,50156,59743
University of San Diego,"Private, nonprofit",Sociology,Bachelor's Degree,36476,51065,59681
University of Colorado Boulder,Public,Sociology,Bachelor's Degree,37958,51246,59670
Frostburg State University,Public,Sociology,Bachelor's Degree,32165,51888,59641
Manhattanville College,"Private, nonprofit",Sociology,Bachelor's Degree,31551,60202,59627
Northeastern University,"Private, nonprofit",Sociology,Bachelor's Degree,41624,49859,59603
SUNY Cortland,Public,Sociology,Bachelor's Degree,33837,50654,59571
University of California-Davis,Public,Sociology,Bachelor's Degree,32137,50561,59319
University of California-Santa Barbara,Public,Sociology,Bachelor's Degree,34372,50703,59183
Centenary University,"Private, nonprofit",Sociology,Bachelor's Degree,32049,48120,59060
California State University-Channel Islands,Public,Sociology,Bachelor's Degree,36557,49741,58859
Pacific Lutheran University,"Private, nonprofit",Sociology,Bachelor's Degree,35317,50401,58698
Christopher Newport University,Public,Sociology,Bachelor's Degree,36977,49104,58418
Gonzaga University,"Private, nonprofit",Sociology,Bachelor's Degree,33675,47098,58415
George Mason University,Public,Sociology,Bachelor's Degree,38916,47477,58321
CUNY Brooklyn College,Public,Sociology,Bachelor's Degree,41062,48880,58167
California State University-Sacramento,Public,Sociology,Bachelor's Degree,37040,50786,58159
Western Michigan University,Public,Sociology,Bachelor's Degree,35399,47199,58151
College of Mount Saint Vincent,"Private, nonprofit",Sociology,Bachelor's Degree,31763,48501,58108
DePaul University,"Private, nonprofit",Sociology,Bachelor's Degree,33644,50794,58090
University of Mary Washington,Public,Sociology,Bachelor's Degree,35499,50374,58027
Suffolk University,"Private, nonprofit",Sociology,Bachelor's Degree,37802,52264,57937
John Carroll University,"Private, nonprofit",Sociology,Bachelor's Degree,36845,48903,57774
Iowa State University,Public,Sociology,Bachelor's Degree,40602,50992,57753
